instanceType,instanceFamily,instanceFamilyName,location,currentGeneration,hypervisor,processorArchitectures,processorManufacturer,processor,vCpus,memorySizeInGiB,storage,nitroEnclavesSupport,onDemandLinuxHr,onDemandRhelHr,onDemandWindowsHr,reserved3yNoUpfrontLinuxHr,reserved3yNoUpfrontRhelHr,reserved3yNoUpfrontWindowsHr
r6i.xlarge,r6i,Memory optimized,eu-west-3,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),4.0,32.0,EBS only,supported,0.296,0.3536,0.48,0.1338,0.1914,0.3178
r7g.xlarge,r7g,Memory optimized,eu-west-3,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,4.0,32.0,EBS only,supported,0.2516,0.3092,,0.1137,0.1713,
r7i.xlarge,r7i,Memory optimized,eu-west-3,1.0,nitro,x86_64,Intel,Intel Xeon Scalable (Sapphire Rapids),4.0,32.0,EBS only,supported,0.3108,0.3684,0.4948,0.1405,0.1981,0.3245
x2iedn.xlarge,x2iedn,Memory optimized,eu-west-3,1.0,nitro,x86_64,Intel,Intel Xeon Scalable (Icelake),4.0,128.0,1 x 118 NVMe SSD,supported,1.0504,1.108,1.2344,0.3369,0.3945,0.5209
c5.2xlarge,c,Compute optimized,eu-west-3,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8124M,8.0,16.0,EBS only,supported,0.404,0.519,0.772,0.175,0.29,0.543
c5a.2xlarge,c,Compute optimized,eu-west-3,1.0,nitro,x86_64,AMD,AMD EPYC 7R32,8.0,16.0,EBS only,supported,0.364,0.479,0.732,0.157,0.272,0.525
c5d.2xlarge,c,Compute optimized,eu-west-3,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8124M,8.0,16.0,1 x 200 NVMe SSD,supported,0.46,0.575,0.828,0.199,0.314,0.567
c6g.2xlarge,c,Compute optimized,eu-west-3,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,8.0,16.0,EBS only,supported,0.324,0.4392,,0.1382,0.2534,
c6gd.2xlarge,c,Compute optimized,eu-west-3,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,8.0,16.0,1 x 475 NVMe SSD,supported,0.368,0.4832,,0.159,0.2742,
c6gn.2xlarge,c,Compute optimized,eu-west-3,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,8.0,16.0,EBS only,supported,0.41,0.5252,,0.2052,0.3204,
c6i.2xlarge,c,Compute optimized,eu-west-3,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),8.0,16.0,EBS only,supported,0.404,0.5192,0.772,0.1836,0.2988,0.5516
c6id.2xlarge,c,Compute optimized,eu-west-3,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),8.0,16.0,1 x 474 NVMe SSD,supported,0.483,0.5982,0.851,0.2087,0.3239,0.5767
c6in.2xlarge,c,Compute optimized,eu-west-3,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),8.0,16.0,EBS only,supported,0.5376,0.6528,0.9056,0.2249,0.3401,0.5929
c7g.2xlarge,c,Compute optimized,eu-west-3,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,8.0,16.0,EBS only,supported,0.3434,0.4586,,0.1561,0.2713,
c7i-flex.2xlarge,c,Compute optimized,eu-west-3,1.0,nitro,x86_64,Intel,Intel Xeon Scalable (Sapphire Rapids),8.0,16.0,EBS only,unsupported,0.403,0.5182,0.7526,0.1831,0.2983,0.5327
c7i.2xlarge,c,Compute optimized,eu-west-3,1.0,nitro,x86_64,Intel,Intel Xeon Scalable (Sapphire Rapids),8.0,16.0,EBS only,supported,0.4242,0.5394,0.7922,0.1928,0.3228,0.5608
inf1.2xlarge,inf1,Machine Learning ASIC Instances,eu-west-3,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8275CL (Cascade Lake),8.0,16.0,EBS only,supported,0.423,0.538,,0.203,0.318,
c5n.2xlarge,c,Compute optimized,eu-west-3,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8124M,8.0,21.0,EBS only,supported,0.512,0.627,0.88,0.214,0.329,0.582
g4dn.2xlarge,g4dn,GPU instance,eu-west-3,1.0,nitro,x86_64,Intel,Intel Xeon Family,8.0,32.0,225 GB NVMe SSD,supported,0.879,0.994,1.247,0.427,0.543,0.795
g6.2xlarge,g6,GPU instance,eu-west-3,1.0,nitro,x86_64,AMD,AMD EPYC 7R13 Processor,8.0,32.0,1 x 450 GB NVMe SSD,supported,1.2409,1.3561,1.609,0.5696,0.6848,0.9376
im4gn.2xlarge,im4gn,Storage optimized,eu-west-3,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,8.0,32.0,1 x 3750 SSD,unsupported,0.8442,0.9594,,0.3849,0.5001,
m5.2xlarge,m5,General purpose,eu-west-3,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8175,8.0,32.0,EBS only,supported,0.448,0.563,0.816,0.194,0.309,0.562
m5a.2xlarge,m5a,General purpose,eu-west-3,1.0,nitro,x86_64,AMD,AMD EPYC 7571,8.0,32.0,EBS only,supported,0.404,0.519,0.772,0.175,0.29,0.543
m5ad.2xlarge,m5ad,General purpose,eu-west-3,1.0,nitro,x86_64,AMD,AMD EPYC 7571,8.0,32.0,1 x 300 NVMe SSD,supported,0.484,0.599,0.852,0.209,0.324,0.577
m5d.2xlarge,m5d,General purpose,eu-west-3,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8175,8.0,32.0,1 x 300 NVMe SSD,supported,0.528,0.643,0.896,0.228,0.343,0.596
m6a.2xlarge,m6a,General purpose,eu-west-3,1.0,nitro,x86_64,AMD,AMD EPYC 7R13 Processor,8.0,32.0,EBS only,supported,0.4032,0.5184,0.7712,0.1837,0.2989,0.5517
m6g.2xlarge,m6g,General purpose,eu-west-3,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,8.0,32.0,EBS only,supported,0.36,0.4752,,0.1555,0.2707,
m6gd.2xlarge,m6gd,General purpose,eu-west-3,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,8.0,32.0,1 x 475 NVMe SSD,supported,0.4224,0.5376,,0.1825,0.2977,
m6i.2xlarge,m6i,General purpose,eu-west-3,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),8.0,32.0,EBS only,supported,0.448,0.5632,0.816,0.2041,0.3193,0.5721
m7g.2xlarge,m7g,General purpose,eu-west-3,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,8.0,32.0,EBS only,supported,0.3808,0.496,,0.1735,0.2887,
m7gd.2xlarge,m7gd,General purpose,eu-west-3,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,8.0,32.0,1 x 475 NVMe SSD,supported,0.499,0.6142,,0.2156,0.3308,
m7i-flex.2xlarge,m7i-flex,General purpose,eu-west-3,1.0,nitro,x86_64,Intel,Intel Xeon Scalable (Sapphire Rapids),8.0,32.0,EBS only,unsupported,0.4469,0.5621,0.7965,0.2036,0.3188,0.5532
