instanceType,instanceFamily,instanceFamilyName,location,currentGeneration,hypervisor,processorArchitectures,processorManufacturer,processor,vCpus,memorySizeInGiB,storage,nitroEnclavesSupport,onDemandLinuxHr,onDemandRhelHr,onDemandWindowsHr,reserved3yNoUpfrontLinuxHr,reserved3yNoUpfrontRhelHr,reserved3yNoUpfrontWindowsHr
c6in.32xlarge,c,Compute optimized,af-south-1,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),128.0,256.0,EBS only,supported,9.7574,10.9862,15.6454,4.0561,5.2849,9.9441
c6in.metal,c,Compute optimized,af-south-1,1.0,,x86_64,Intel,Intel Xeon 8375C (Ice Lake),128.0,256.0,EBS only,unsupported,9.7574,10.9862,15.6454,4.0561,5.2849,9.9441
m6i.32xlarge,m6i,General purpose,af-south-1,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),128.0,512.0,EBS only,supported,8.128,9.3568,14.016,3.5113,4.7401,9.3993
m6i.metal,m6i,General purpose,af-south-1,1.0,,x86_64,Intel,Intel Xeon 8375C (Ice Lake),128.0,512.0,EBS only,unsupported,8.128,9.3568,14.016,3.5113,4.7401,9.3993
i4i.32xlarge,i4i,Storage optimized,af-south-1,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),128.0,1024.0,8 x 3750 SSD,supported,14.432,15.6608,20.32,6.7496,7.9784,12.6376
i4i.metal,i4i,Storage optimized,af-south-1,1.0,,x86_64,Intel,Intel Xeon 8375C (Ice Lake),128.0,1024.0,8 x 3750 NVMe SSD,unsupported,14.432,15.661,20.32,6.75,7.978,12.638
r6i.32xlarge,r6i,Memory optimized,af-south-1,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),128.0,1024.0,EBS only,supported,10.752,11.9808,16.64,4.6449,5.8737,10.5329
r6i.metal,r6i,Memory optimized,af-south-1,1.0,,x86_64,Intel,Intel Xeon 8375C (Ice Lake),128.0,1024.0,EBS only,unsupported,10.752,11.9808,16.64,4.6449,5.8737,10.5329
x1.32xlarge,x1,Memory optimized,af-south-1,1.0,xen,x86_64,Intel,High Frequency Intel Xeon E7-8880 v3 (Haswell),128.0,1952.0,2 x 1920 SSD,unsupported,19.048,20.277,24.936,6.122,7.351,12.01
x2idn.32xlarge,x2idn,Memory optimized,af-south-1,1.0,nitro,x86_64,Intel,Intel Xeon Scalable (Icelake),128.0,2048.0,2 x 1900 NVMe SSD,supported,19.048,20.2768,24.936,6.1098,7.3386,11.9978
x2idn.metal,x2idn,Memory optimized,af-south-1,1.0,,x86_64,Intel,Intel Xeon Scalable (Icelake),128.0,2048.0,2 x 1900 NVMe SSD,unsupported,19.048,20.2768,24.936,6.1098,7.3386,11.9978
x1e.32xlarge,x1e,Memory optimized,af-south-1,1.0,xen,x86_64,Intel,High Frequency Intel Xeon E7-8880 v3 (Haswell),128.0,3904.0,2 x 1920 SSD,unsupported,38.08,39.309,43.968,12.239,13.468,18.127
x2iedn.32xlarge,x2iedn,Memory optimized,af-south-1,1.0,nitro,x86_64,Intel,Intel Xeon Scalable (Icelake),128.0,4096.0,2 x 1900 NVMe SSD,supported,38.096,39.3248,43.984,12.2197,13.4485,18.1077
x2iedn.metal,x2iedn,Memory optimized,af-south-1,1.0,,x86_64,Intel,Intel Xeon Scalable (Icelake),128.0,4096.0,2 x 1900 NVMe SSD,unsupported,38.096,39.3248,43.984,12.2197,13.4485,18.1077
u-6tb1.56xlarge,u-6tb1,Memory optimized,af-south-1,1.0,nitro,x86_64,Intel,Intel Xeon Scalable (Skylake),224.0,6144.0,EBS only,unsupported,61.7945,63.9449,72.0985,19.8546,22.005,30.1586
u-6tb1.112xlarge,u-6tb1,Memory optimized,af-south-1,1.0,nitro,x86_64,Intel,Intel Xeon Scalable (Skylake),448.0,6144.0,EBS only,unsupported,72.709,77.0098,93.317,23.3614,27.6622,43.9694
u-9tb1.112xlarge,u-9tb1,Memory optimized,af-south-1,1.0,nitro,x86_64,Intel,Intel Xeon Scalable (Skylake),448.0,9216.0,EBS only,unsupported,109.0635,113.3643,129.6715,35.0421,39.3429,55.6501
u-12tb1.112xlarge,u-12tb1,Memory optimized,af-south-1,1.0,nitro,x86_64,Intel,Intel Xeon Scalable (Skylake),448.0,12288.0,EBS only,unsupported,145.418,149.7188,166.026,46.7228,51.0236,67.3308
