instanceType,instanceFamily,instanceFamilyName,location,currentGeneration,hypervisor,processorArchitectures,processorManufacturer,processor,vCpus,memorySizeInGiB,storage,nitroEnclavesSupport,onDemandLinuxHr,onDemandRhelHr,onDemandWindowsHr,reserved3yNoUpfrontLinuxHr,reserved3yNoUpfrontRhelHr,reserved3yNoUpfrontWindowsHr
m5d.2xlarge,m5d,General purpose,me-south-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8175,8.0,32.0,1 x 300 NVMe SSD,supported,0.554,0.67,0.922,0.24,0.355,0.608
m6g.2xlarge,m6g,General purpose,me-south-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,8.0,32.0,EBS only,supported,0.376,0.4912,,0.1642,0.2794,
m6gd.2xlarge,m6gd,General purpose,me-south-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,8.0,32.0,1 x 475 NVMe SSD,supported,0.4435,0.5587,,0.1916,0.3068,
m6i.2xlarge,m6i,General purpose,me-south-1,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),8.0,32.0,EBS only,supported,0.528,0.6432,0.896,0.2395,0.3547,0.6075
m7g.2xlarge,m7g,General purpose,me-south-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,8.0,32.0,EBS only,supported,0.4488,0.564,,0.2036,0.3188,
t3.2xlarge,t,General purpose,me-south-1,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,8.0,32.0,EBS only,unsupported,0.4013,0.5165,0.5485,0.1734,0.2886,0.3206
t4g.2xlarge,t,General purpose,me-south-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,8.0,32.0,EBS only,unsupported,0.3213,0.4365,,0.1388,0.254,
d2.2xlarge,d2,Storage optimized,me-south-1,0.0,xen,x86_64,Intel,Intel Xeon E5-2676 v3 (Haswell),8.0,61.0,6 x 2000 HDD,unsupported,1.617,1.732,1.985,0.646,0.761,1.014
i3.2xlarge,i3,Storage optimized,me-south-1,1.0,xen,x86_64,Intel,Intel Xeon E5-2686 v4 (Broadwell),8.0,61.0,1 x 1900 NVMe SSD,unsupported,0.757,0.872,1.125,0.371,0.486,0.739
i3en.2xlarge,i3en,Storage optimized,me-south-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8175,8.0,64.0,2 x 2500 NVMe SSD,supported,1.095,1.21,1.463,0.482,0.598,0.85
